CEP inicial,Latitude inicial,Longitude inicial,Dia do vôo,Hora inicial,Velocidade,CEP final,Latitude final,Longitude final,Pouso,Hora final
81050637,-25.4835295000015,-49.3145007999984,2,10:57:00,96,81350320,-25.4992029361912,-49.3318588311607,SIM,10:58:00
81350320,-25.4992029361912,-49.3318588311607,2,10:59:00,96,80730430,-25.430157,-49.293614,SIM,11:03:00
80730430,-25.430157,-49.293614,2,11:04:00,96,81320290,-25.4748252660661,-49.3107362306741,SIM,11:07:00
81320290,-25.4748252660661,-49.3107362306741,2,11:08:00,96,82520590,-25.4131761050287,-49.2261971905551,SIM,11:13:00
82520590,-25.4131761050287,-49.2261971905551,2,11:14:00,96,81510160,-25.4561970876697,-49.2447744337813,SIM,11:17:00
81510160,-25.4561970876697,-49.2447744337813,2,11:18:00,96,81580179,-25.4968867857253,-49.2235692856984,SIM,11:20:00
81580179,-25.4968867857253,-49.2235692856984,2,11:21:00,96,82640640,-25.3715918782937,-49.2403618225252,SIM,11:29:00
82640640,-25.3715918782937,-49.2403618225252,2,11:30:00,36,82320220,-25.4019988462337,-49.3433039997731,SIM,12:04:00
82320220,-25.4019988462337,-49.3433039997731,2,12:05:00,96,81520290,-25.4627057622716,-49.2410266625473,SIM,12:11:00
81520290,-25.4627057622716,-49.2410266625473,2,12:12:00,96,80320140,-25.4645330930821,-49.294537482629,SIM,12:16:00
80320140,-25.4645330930821,-49.294537482629,2,12:17:00,96,81480050,-25.5639557671639,-49.3123860165859,SIM,12:24:00
81480050,-25.5639557671639,-49.3123860165859,2,12:25:00,96,80820310,-25.4086845373433,-49.2906611455039,SIM,12:35:00
80820310,-25.4086845373433,-49.2906611455039,2,12:36:00,96,81450350,-25.4902280000456,-49.348047000162,SIM,12:43:00
81450350,-25.4902280000456,-49.348047000162,2,12:44:00,96,80215650,-25.4484380190541,-49.2490664368478,SIM,12:49:00
80215650,-25.4484380190541,-49.2490664368478,2,12:50:00,36,81590577,-25.4923383333506,-49.2002912221858,SIM,12:58:00
81590577,-25.4923383333506,-49.2002912221858,2,12:59:00,96,82020770,-25.4035799002893,-49.3165390673192,SIM,13:09:00
82020770,-25.4035799002893,-49.3165390673192,2,13:10:00,96,81470370,-25.5778784839382,-49.3341110960705,SIM,13:22:00
81470370,-25.5778784839382,-49.3341110960705,2,13:23:00,96,81230560,-25.4618345263762,-49.3467354210512,SIM,13:31:00
81230560,-25.4618345263762,-49.3467354210512,2,13:32:00,96,80710390,-25.43427248628,-49.3055074800751,SIM,13:34:00
80710390,-25.43427248628,-49.3055074800751,2,13:35:00,96,80050440,-25.4325298004091,-49.2411146661928,SIM,13:38:00
80050440,-25.4325298004091,-49.2411146661928,2,13:39:00,96,81480141,-25.5562061667039,-49.3231896667236,SIM,13:49:00
81480141,-25.5562061667039,-49.3231896667236,2,13:50:00,96,81450340,-25.4902346316319,-49.3486330527676,SIM,13:55:00
81450340,-25.4902346316319,-49.3486330527676,2,13:56:00,96,82650230,-25.3772499488416,-49.2469517894625,SIM,14:05:00
82650230,-25.3772499488416,-49.2469517894625,2,14:06:00,36,81210070,-25.4427148131246,-49.3268133751402,SIM,14:30:00
81210070,-25.4427148131246,-49.3268133751402,2,14:31:00,96,82990198,-25.4560595000466,-49.1987434093442,SIM,14:37:00
82990198,-25.4560595000466,-49.1987434093442,2,14:38:00,96,81460140,-25.5504730020315,-49.3064697407443,SIM,14:48:00
81460140,-25.5504730020315,-49.3064697407443,2,14:49:00,96,81935382,-25.5594363219748,-49.2516978436888,SIM,14:52:00
81935382,-25.5594363219748,-49.2516978436888,2,14:53:00,96,81170370,-25.514465668778,-49.3258065209142,SIM,14:59:00
81170370,-25.514465668778,-49.3258065209142,2,15:00:00,96,81150130,-25.5161805037496,-49.3043711084487,SIM,15:01:00
81150130,-25.5161805037496,-49.3043711084487,2,15:02:00,96,81260430,-25.4650355019742,-49.3605952475877,SIM,15:07:00
81260430,-25.4650355019742,-49.3605952475877,2,15:08:00,96,81750280,-25.5127671393955,-49.2444025714353,SIM,15:14:00
81750280,-25.5127671393955,-49.2444025714353,2,15:15:00,96,81230395,-25.4630444265055,-49.340662832648,SIM,15:23:00
81230395,-25.4630444265055,-49.340662832648,2,15:24:00,36,81460210,-25.5323146848334,-49.3335573678969,SIM,15:35:00
81460210,-25.5323146848334,-49.3335573678969,2,15:36:00,96,81250210,-25.4756844576971,-49.3473682666473,SIM,15:40:00
81250210,-25.4756844576971,-49.3473682666473,2,15:41:00,96,81940200,-25.5579957528383,-49.3005594977692,SIM,15:46:00
81940200,-25.5579957528383,-49.3005594977692,2,15:47:00,96,80035230,-25.4008064386385,-49.2512257402299,SIM,15:57:00
80035230,-25.4008064386385,-49.2512257402299,2,15:58:00,92,80010160,-25.3975876007521,-49.2498549128683,SIM,15:58:00
80010160,-25.3975876007521,-49.2498549128683,2,15:59:00,96,81590578,-25.4926040000053,-49.2000059999854,SIM,16:05:00
81590578,-25.4926040000053,-49.2000059999854,2,16:06:00,96,81925567,-25.5516863820233,-49.2689271518567,SIM,16:12:00
